Year,Category,Contribution,Organization_name,Organization_City,Born,Died,Name,Born_country,Born_City,Died_Country,Died_City,Organization_Country,Gender,Life_Expectancy
2004,Chemistry,for the discovery of ubiquitin-mediated protein degradation,Technion - Israel Institute of Technology,Haifa,1937,,Avram Hershko,Hungary,Karcag,,,Israel,M,
2006,Economics,for his analysis of intertemporal tradeoffs in macroeconomic policy,Columbia University,New York NY,1933,,Edmund S. Phelps,USA,Evanston IL,,,USA,M,
1994,Physics,for the development of the neutron diffraction technique,Massachusetts Institute of Technology (MIT),Cambridge MA,1915,2001,Clifford G. Shull,USA,Pittsburgh PA,USA,Medford MA,USA,M,86
1902,Chemistry,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,Berlin University,Berlin,1852,1919,Emil Fischer,Germany,Euskirchen,Germany,Berlin,Germany,M,67
1923,Chemistry,for his invention of the method of micro-analysis of organic substances,Graz University,Graz,1869,1930,Fritz Pregl,Slovenia,Ljubljana,Austria,Graz,Austria,M,61
1967,Chemistry,for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy,Institute of Physical Chemistry,Cambridge,1897,1978,Ronald G.W. Norrish,United Kingdom,Cambridge,United Kingdom,Cambridge,United Kingdom,M,81
1973,Chemistry,for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds,Technical University,Munich,1918,2007,Ernst Otto Fischer,Germany,Munich,Germany,Munich,Germany,M,89
1914,Medicine,for his work on the physiology and pathology of the vestibular apparatus,Vienna University,Vienna,1876,1936,Robert B†r†ny,Austria,Vienna,Sweden,Uppsala,Austria,M,60
1960,Medicine,for discovery of acquired immunological tolerance,University College,London,1915,1987,Peter Medawar,Brazil,Rio de Janeiro,United Kingdom,London,United Kingdom,M,72
1966,Medicine,for his discoveries concerning hormonal treatment of prostatic cancer,University of Chicago Ben May Laboratory for Cancer Research,Chicago IL,1901,1997,Charles B. Huggins,Canada,Halifax Nova Scotia,USA,Chicago IL,USA,M,96
1931,Peace,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,,,1860,1935,Jane Addams,USA,Cedarville IL,USA,Chicago IL,,F,75
1947,Peace,for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations,,,,,Friends Service Council,,,,,,,
1970,Peace,for having given a well-founded hope - the green revolution,,,1914,2009,Norman Borlaug,USA,Cresco IA,USA,Dallas TX,,M,95
1982,Peace,for their work for disarmament and nuclear and weapon-free zones,,,1902,1986,Alva Myrdal,Sweden,Uppsala,Sweden,Stockholm,,F,84
1995,Peace,for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms,,,1908,2005,Joseph Rotblat,Poland,Warsaw,United Kingdom,London,,M,97
1959,Literature,for his lyrical poetry which with classical fire expresses the tragic experience of life in our own times,,,1901,1968,Salvatore Quasimodo,Italy,Modica,Italy,Naples,,M,67
1977,Literature,for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society at the same time representing the great renewal of the traditions of Spanish poetry between the wars,,,1898,1984,Vicente Aleixandre,Spain,Sevilla,Spain,Madrid,,M,86
1992,Literature,for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment,,,1930,2017,Derek Walcott,Saint Lucia,Castries,Saint Lucia,Gros-Islet,,M,87
1974,Economics,for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena,,,1899,1992,Friedrich von Hayek,Austria,Vienna,Germany,Freiburg,,M,93
1996,Economics,for their fundamental contributions to the economic theory of incentives under asymmetric information,Columbia University,New York NY,1914,1996,William Vickrey,Canada,Victoria BC,USA,Harrison NY,USA,M,82
1998,Economics,for his contributions to welfare economics,Trinity College,Cambridge,1933,,Amartya Sen,India,Santiniketan,,,United Kingdom,M,
1951,Chemistry,for their discoveries in the chemistry of the transuranium elements,University of California,Berkeley CA,1912,1999,Glenn T. Seaborg,USA,Ishpeming MI,USA,Lafayette CA,USA,M,87
1966,Chemistry,for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method,University of Chicago,Chicago IL,1896,1986,Robert S. Mulliken,USA,Newburyport MA,USA,Arlington VA,USA,M,90
1998,Chemistry,for his development of the density-functional theory,University of California,Santa Barbara CA,1923,2016,Walter Kohn,Austria,Vienna,USA,Santa Barbara CA,USA,M,93
1931,Medicine,for his discovery of the nature and mode of action of the respiratory enzyme,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) fÅr Biologie,Berlin-Dahlem,1883,1970,Otto Warburg,Germany,Freiburg im Breisgau,Germany,West Berlin,Germany,M,87
1907,Physics,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,University of Chicago,Chicago IL,1852,1931,Albert A. Michelson,Poland,Strzelno,USA,Pasadena CA,USA,M,79
1949,Physics,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces,Columbia University,New York NY,1907,1981,Hideki Yukawa,Japan,Tokyo,Japan,Kyoto,USA,M,74
1958,Physics,for the discovery and the interpretation of the Cherenkov effect,P.N. Lebedev Physical Institute,Moscow,1904,1990,Pavel A. Cherenkov,Russia,Novaya Chigla,Russia,,Russia,M,86
1965,Physics,for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles,Harvard University,Cambridge MA,1918,1994,Julian Schwinger,USA,New York NY,USA,Los Angeles CA,USA,M,76
1966,Physics,for the discovery and development of optical methods for studying Hertzian resonances in atoms,êcole Normale SupÇrieure,Paris,1902,1984,Alfred Kastler,France,Guebwiller,France,Bandol,France,M,82
1977,Physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,Harvard University,Cambridge MA,1899,1980,John H. Van Vleck,USA,Middletown CT,USA,Cambridge MA,USA,M,81
1997,Physics,for development of methods to cool and trap atoms with laser light,National Institute of Standards and Technology,Gaithersburg MD,1948,,William D. Phillips,USA,Wilkes-Barre PA,,,USA,M,
1905,Chemistry,in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds,Munich University,Munich,1835,1917,Adolf von Baeyer,Germany,Berlin,Germany,Starnberg,Germany,M,82
1999,Medicine,for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell,Rockefeller University,New York NY,1936,2018,GÅnter Blobel,Poland,Niegoslawice,USA,New York NY,USA,M,82
1903,Peace,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,,,1828,1908,Randal Cremer,United Kingdom,Fareham,United Kingdom,London,,M,80
1952,Peace,for his altruism reverence for life and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one,,,1875,1965,Albert Schweitzer,France,Kaysersberg,Gabon,LambarÇnÇ,,M,90
1983,Peace,for non-violent struggle for free trade unions and human rights in Poland,,,1943,,Lech Walesa,Poland,Popowo,,,,M,
1917,Literature,for his varied and rich poetry which is inspired by lofty ideals,,,1857,1919,Karl Gjellerup,Denmark,Roholte,Germany,Klotzsche,,M,62
1932,Literature,for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>,,,1867,1933,John Galsworthy,United Kingdom,Kingston Hill,United Kingdom,London,,M,66
1972,Literature,for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature,,,1917,1985,Heinrich Bîll,Germany,Cologne,Germany,Bornheim-Merten,,M,68
1977,Economics,for their pathbreaking contribution to the theory of international trade and international capital movements,Stockholm School of Economics,Stockholm,1899,1979,Bertil Ohlin,Sweden,Klippan,Sweden,VÜlÜdalen,Sweden,M,80
1988,Economics,for his pioneering contributions to the theory of markets and efficient utilization of resources,êcole Nationale SupÇrieur des Mines de Paris,Paris,1911,2010,Maurice Allais,France,Paris,France,Paris,France,M,99
1972,Medicine,for their discoveries concerning the chemical structure of antibodies,Rockefeller University,New York NY,1929,2014,Gerald M. Edelman,USA,New York NY,USA,La Jolla CA,USA,M,85
1973,Medicine,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,Zoologisches Institut der UniversitÑt MÅnchen,Munich,1886,1982,Karl von Frisch,Austria,Vienna,Germany,Munich,Germany,M,96
1991,Medicine,for their discoveries concerning the function of single ion channels in cells,Max-Planck-Institut fÅr Biophysikalische Chemie,Gîttingen,1944,,Erwin Neher,Germany,Landsberg,,,Germany,M,
2009,Physics,for the invention of an imaging semiconductor circuit - the CCD sensor,Bell Laboratories,Murray Hill NJ,1930,,George E. Smith,USA,White Plains NY,,,USA,M,
2012,Economics,for the theory of stable allocations and the practice of market design,University of California,Los Angeles CA,1923,2016,Lloyd S. Shapley,USA,Cambridge MA,USA,Tucson AZ,USA,M,93
2003,Economics,for methods of analyzing economic time series with time-varying volatility (ARCH),New York University,New York NY,1942,,Robert F. Engle III,USA,Syracuse NY,,,USA,M,
2007,Medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,University of North Carolina,Chapel Hill NC,1925,2017,Oliver Smithies,United Kingdom,Halifax,USA,Chapel Hill NC,USA,M,92
2022,Physics,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,J.F. Clauser & Assoc.,Walnut Creek CA,1942,,,USA,Pasadena CA,,,USA,M,
1906,Medicine,in recognition of their work on the structure of the nervous system,Pavia University,Pavia,1843,1926,Camillo Golgi,Italy,Corteno,Italy,Pavia,Italy,M,83
1919,Medicine,for his discoveries relating to immunity,Brussels University,Brussels,1870,1961,Jules Bordet,Belgium,Soignies,Belgium,Brussels,Belgium,M,91
1933,Medicine,for his discoveries concerning the role played by the chromosome in heredity,California Institute of Technology (Caltech),Pasadena CA,1866,1945,Thomas H. Morgan,USA,Lexington KY,USA,Pasadena CA,USA,M,79
1945,Medicine,for the discovery of penicillin and its curative effect in various infectious diseases,University of Oxford,Oxford,1906,1979,Ernst B. Chain,Germany,Berlin,Ireland,Mulrany,United Kingdom,M,73
1953,Medicine,for his discovery of co-enzyme A and its importance for intermediary metabolism,Harvard Medical School,Boston MA,1899,1986,Fritz Lipmann,Russia,Kaliningrad,USA,Poughkeepsie NY,USA,M,87
1954,Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,Research Division of Infectious Diseases Children's Medical Center,Boston MA,1915,2008,Thomas H. Weller,USA,Ann Arbor MI,USA,Needham MA,USA,M,93
1970,Medicine,for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation,Karolinska Institutet,Stockholm,1905,1983,Ulf von Euler,Sweden,Stockholm,Sweden,Stockholm,Sweden,M,78
1974,Medicine,for their discoveries concerning the structural and functional organization of the cell,UniversitÇ Catholique de Louvain,Louvain,1898,1983,Albert Claude,Belgium,Longlier,Belgium,Brussels,Belgium,M,85
1974,Medicine,for their discoveries concerning the structural and functional organization of the cell,Rockefeller University,New York NY,1917,2013,Christian de Duve,United Kingdom,Thames Ditton,Belgium,Nethen,USA,M,96
1975,Medicine,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,University of Wisconsin,Madison WI,1934,1994,Howard M. Temin,USA,Philadelphia PA,USA,Madison WI,USA,M,60
1982,Medicine,for their discoveries concerning prostaglandins and related biologically active substances,The Wellcome Research Laboratories,Beckenham,1927,2004,John R. Vane,United Kingdom,Tardebigg,United Kingdom,Farnborough,United Kingdom,M,77
1995,Medicine,for their discoveries concerning the genetic control of early embryonic development,Max-Planck-Institut fÅr Entwicklungsbiologie,TÅbingen,1942,,Christiane NÅsslein-Volhard,Germany,Magdeburg,,,Germany,F,
1901,Physics,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,Munich University,Munich,1845,1923,Wilhelm Conrad Rîntgen,Germany,Remscheid,Germany,Munich,Germany,M,78
1915,Physics,for their services in the analysis of crystal structure by means of X-rays,Victoria University,Manchester,1890,1971,Lawrence Bragg,Australia,Adelaide,United Kingdom,Ipswich,United Kingdom,M,81
1957,Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,Institute for Advanced Study,Princeton NJ,1922,,Chen Ning Yang,China,Hofei Anhwei,,,USA,M,
1971,Physics,for his invention and development of the holographic method,Imperial College,London,1900,1979,Dennis Gabor,Hungary,Budapest,United Kingdom,London,United Kingdom,M,79
1901,Peace,for his lifelong work for international peace conferences diplomacy and arbitration,,,1822,1912,FrÇdÇric Passy,France,Paris,France,Paris,,M,90
1909,Peace,for their prominent position in the international movement for peace and arbitration,,,1852,1924,Paul Henri d'Estournelles de Constant,France,La Fläche,France,Paris,,M,72
1953,Peace,for proposing and supervising the plan for the economic recovery of Europe,,,1880,1959,George C. Marshall,USA,Uniontown PA,USA,Washington D.C.,,M,79
1979,Peace,for her work for bringing help to suffering humanity,,,1910,1997,Anjezâ Gonxhe Bojaxhiu,North Macedonia,Skopje,India,Calcutta,,F,87
1993,Peace,for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa,,,1918,2013,Nelson Mandela,South Africa,Qunu,South Africa,Johannesburg,,M,95
1994,Peace,for their efforts to create peace in the Middle East,,,1929,2004,Yasser Arafat,Egypt,Cairo,France,Paris,,M,75
1994,Peace,for their efforts to create peace in the Middle East,,,1923,2016,Shimon Peres,Belarus,Vishneva,Israel,Tel Aviv,,M,93
1912,Literature,primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art,,,1862,1946,Gerhart Hauptmann,Poland,Bad Salzbrunn,Poland,Jagniatk¢w,,M,84
1958,Literature,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,,,1890,1960,Boris Pasternak,Russia,Moscow,Russia,Peredelkino,,M,70
2000,Chemistry,for the discovery and development of conductive polymers,University of Pennsylvania,Philadelphia PA,1927,2007,Alan MacDiarmid,New Zealand,Masterton,USA,Drexel Hill PA,USA,M,80
2008,Medicine,for their discovery of human immunodeficiency virus,World Foundation for AIDS Research and Prevention,Paris,1932,2022,Luc Montagnier,France,Chabris,France,Paris,France,M,90
2009,Medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,University of California,San Francisco CA,1948,,Elizabeth H. Blackburn,Australia,Hobart Tasmania,,,USA,F,
2009,Medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,Harvard Medical School,Boston MA,1952,,Jack W. Szostak,United Kingdom,London,,,USA,M,
2010,Chemistry,for palladium-catalyzed cross couplings in organic synthesis,University of Delaware,,1931,2015,Richard F. Heck,USA,Springfield MA,Philippines,Manila,USA,M,84
2013,Medicine,for their discoveries of machinery regulating vesicle traffic a major transport system in our cells,Stanford University,Stanford CA,1955,,Thomas C. SÅdhof,Germany,Gîttingen,,,USA,M,
2020,Physics,for the discovery of a supermassive compact object at the centre of our galaxy,University of California,Los Angeles CA,1965,,Andrea Ghez,USA,New York NY,,,USA,F,
2001,Peace,for their work for a better organized and more peaceful world,,,1938,2018,Kofi Annan,Ghana,Kumasi,Switzerland,Bern,,M,80
2002,Medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',The Molecular Sciences Institute,Berkeley CA,1927,2019,Sydney Brenner,South Africa,Germiston,Singapore,,USA,M,92
2003,Physics,for pioneering contributions to the theory of superconductors and superfluids,University of Illinois,Urbana IL,1938,,Anthony J. Leggett,United Kingdom,London,,,USA,M,
2005,Physics,for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique,Max-Planck-Institut fÅr Quantenoptik,Garching,1941,,Theodor W. HÑnsch,Germany,Heidelberg,,,Germany,M,
2006,Chemistry,for his studies of the molecular basis of eukaryotic transcription,Stanford University,Stanford CA,1947,,Roger D. Kornberg,USA,St. Louis MO,,,USA,M,
1910,Physics,for his work on the equation of state for gases and liquids,Amsterdam University,Amsterdam,1837,1923,Johannes Diderik van der Waals,Netherlands,Leiden,Netherlands,Amsterdam,Netherlands,M,86
1920,Physics,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sävres,1861,1938,Charles Edouard Guillaume,Switzerland,Fleurier,France,Sävres,France,M,77
1927,Physics,for his method of making the paths of electrically charged particles visible by condensation of vapour,University of Cambridge,Cambridge,1869,1959,C.T.R. Wilson,Scotland,Glencorse,Scotland,Carlops,United Kingdom,M,90
1951,Physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,Trinity College,Dublin,1903,1995,Ernest T.S. Walton,Ireland,Dungarvan,Northern Ireland,Belfast,Ireland,M,92
1951,Chemistry,for their discoveries in the chemistry of the transuranium elements,University of California,Berkeley CA,1907,1991,Edwin M. McMillan,USA,Redondo Beach CA,USA,El Cerrito CA,USA,M,84
1980,Chemistry,for their contributions concerning the determination of base sequences in nucleic acids,MRC Laboratory of Molecular Biology,Cambridge,1918,2013,Frederick Sanger,United Kingdom,Rendcombe,United Kingdom,Cambridge,United Kingdom,M,95
1969,Chemistry,for their contributions to the development of the concept of conformation and its application in chemistry,University of Oslo,Oslo,1897,1981,Odd Hassel,Norway,Oslo,Norway,Oslo,Norway,M,84
1979,Chemistry,for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis,University of Heidelberg,Heidelberg,1897,1987,Georg Wittig,Germany,Berlin,Germany,Heidelberg,Germany,M,90
1981,Chemistry,for their theories developed independently concerning the course of chemical reactions,Kyoto University,Kyoto,1918,1998,Kenichi Fukui,Japan,Nara,Japan,Kyoto,Japan,M,80
1911,Medicine,for his work on the dioptrics of the eye,Uppsala University,Uppsala,1862,1930,Allvar Gullstrand,Sweden,Landskrona,Sweden,Stockholm,Sweden,M,68
1912,Medicine,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,Rockefeller Institute for Medical Research,New York NY,1873,1944,Alexis Carrel,France,Sainte-Foy-läs-Lyon,France,Paris,USA,M,71
1956,Medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,Columbia University,New York NY,1895,1973,Dickinson W. Richards,USA,Orange NJ,USA,Lakeville CT,USA,M,78
1996,Physics,for their discovery of superfluidity in helium-3,Cornell University,Ithaca NY,1937,2013,Robert C. Richardson,USA,Washington D.C.,USA,Ithaca NY,USA,M,76
1946,Chemistry,for his discovery that enzymes can be crystallized,Cornell University,Ithaca NY,1887,1955,James B. Sumner,USA,Canton MA,USA,Buffalo NY,USA,M,68
1977,Peace,for worldwide respect for human rights,,,,,Amnesty International,,,,,,,
2002,Chemistry,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,Shimadzu Corp.,Kyoto,1959,,Koichi Tanaka,Japan,Toyama City,,,Japan,M,
2002,Peace,for his decades of untiring effort to find peaceful solutions to international conflicts to advance democracy and human rights and to promote economic and social development,,,1924,,Jimmy Carter,USA,Plains GA,,,,M,
2016,Economics,for their contributions to contract theory,Harvard University,Cambridge MA,1948,,Oliver Hart,United Kingdom,London,,,USA,M,
2018,Peace,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,,,1955,,Denis Mukwege,Democratic Republic of the Congo,Bukavu,,,,M,
2018,Peace,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,,,,,Nadia Murad,Iraq,Kojo,,,,F,
2019,Economics,for their experimental approach to alleviating global poverty,Harvard University,Cambridge MA,1964,,Michael Kremer,USA,New York NY,,,USA,M,
2021,Economics,for his empirical contributions to labour economics,University of California,Berkeley CA,,,David Card,Canada,Guelph,,,USA,M,
1917,Peace,for the efforts to take care of wounded soldiers and prisoners of war and their families,,,,,International Committee of the Red Cross,,,,,,,
1927,Peace,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,,,1841,1932,Ferdinand Buisson,France,Paris,France,Thieuloy-Saint-Antoine,,M,91
1937,Peace,for his tireless effort in support of the League of Nations disarmament and peace,,,1864,1958,Robert Cecil,United Kingdom,London,United Kingdom,Tunbridge Wells,,M,94
1985,Peace,for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war,,,,,International Physicians for the Prevention of Nuclear War,,,,,,,
1986,Peace,for being a messenger to mankind: his message is one of peace atonement and dignity,,,1928,2016,Elie Wiesel,Romania,Sighet,USA,New York NY,,M,88
1948,Literature,for his outstanding pioneer contribution to present-day poetry,,,1888,1965,T.S. Eliot,USA,St. Louis MO,United Kingdom,London,,M,77
1956,Literature,for his lyrical poetry which in Spanish language constitutes an example of high spirit and artistical purity,,,1881,1958,Juan Ram¢n JimÇnez,Spain,Moguer,Puerto Rico,San Juan,,M,77
1966,Literature,for her outstanding lyrical and dramatic writing which interprets Israel's destiny with touching strength,,,1891,1970,Nelly Sachs,Germany,Berlin,Sweden,Stockholm,,F,79
1971,Literature,for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams,,,1904,1973,Pablo Neruda,Chile,Parral,Chile,Santiago,,M,69
1978,Literature,for his impassioned narrative art which with roots in a Polish-Jewish cultural tradition brings universal human conditions to life,,,1904,1991,Isaac Bashevis Singer,Poland,Leoncin,USA,Surfside FL,,M,87
1985,Economics,for his pioneering analyses of saving and of financial markets,Massachusetts Institute of Technology (MIT),Cambridge MA,1918,2003,Franco Modigliani,Italy,Rome,USA,Cambridge MA,USA,M,85
1996,Economics,for their fundamental contributions to the economic theory of incentives under asymmetric information,University of Cambridge,Cambridge,1936,2018,James A. Mirrlees,Scotland,Minnigaff,United Kingdom,Cambridge,United Kingdom,M,82
1980,Physics,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,University of Chicago,Chicago IL,1931,2016,James Cronin,USA,Chicago IL,USA,St. Paul MN,USA,M,85
1989,Physics,for the development of the ion trap technique,University of Bonn,Bonn,1913,1993,Wolfgang Paul,Germany,Lorenzkirch,Germany,Bonn,Germany,M,80
1925,Chemistry,for his demonstration of the heterogenous nature of colloid solutions and for the methods he used which have since become fundamental in modern colloid chemistry,Goettingen University,Gîttingen,1865,1929,Richard Zsigmondy,Austria,Vienna,Germany,Gîttingen,Germany,M,64
1949,Chemistry,for his contributions in the field of chemical thermodynamics particularly concerning the behaviour of substances at extremely low temperatures,University of California,Berkeley CA,1895,1982,William F. Giauque,Canada,Niagara Falls,USA,Berkeley CA,USA,M,87
2010,Physics,for groundbreaking experiments regarding the two-dimensional material graphene,University of Manchester,Manchester,1974,,Konstantin Novoselov,Russia,Nizhny Tagil,,,United Kingdom,M,
2011,Literature,because through his condensed translucent images he gives us fresh access to reality,,,1931,2015,Tomas Transtrîmer,Sweden,Stockholm,Sweden,Stockholm,,M,84
2012,Chemistry,for studies of G-protein-coupled receptors,Howard Hughes Medical Institute,,1943,,Robert J. Lefkowitz,USA,New York NY,,,USA,M,
2012,Literature,who with hallucinatory realism merges folk tales history and the contemporary,,,1956,,Mo Yan,China,Gaomi,,,,M,
1967,Physics,for his contributions to the theory of nuclear reactions especially his discoveries concerning the energy production in stars,Cornell University,Ithaca NY,1906,2005,Hans Bethe,France,Strasbourg,USA,Ithaca NY,USA,M,99
1970,Physics,for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics,Royal Institute of Technology,Stockholm,1908,1995,Hannes AlfvÇn,Sweden,Norrkîping,Sweden,Djursholm,Sweden,M,87
2017,Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Columbia University,New York NY,1940,,Joachim Frank,Germany,Siegen,,,USA,M,
2020,Peace,for its efforts to combat hunger for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict,,,,,World Food Programme,,,,,,,
2021,Medicine,for their discoveries of receptors for temperature and touch,University of California,San Francisco CA,1955,,David Julius,USA,New York NY,,,USA,M,
2004,Physics,for the discovery of asymptotic freedom in the theory of the strong interaction,Massachusetts Institute of Technology (MIT),Cambridge MA,1951,,Frank Wilczek,USA,New York NY,,,USA,M,
2005,Chemistry,for the development of the metathesis method in organic synthesis,Massachusetts Institute of Technology (MIT),Cambridge MA,1945,,Richard R. Schrock,USA,Berne IN,,,USA,M,
1970,Medicine,for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation,University College,London,1911,2003,Sir Bernard Katz,Germany,Leipzig,United Kingdom,London,United Kingdom,M,92
1970,Medicine,for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation,National Institutes of Health,Bethesda MD,1912,2004,Julius Axelrod,USA,New York NY,USA,Rockville MD,USA,M,92
1971,Medicine,for his discoveries concerning the mechanisms of the action of hormones,Vanderbilt University,Nashville TN,1915,1974,Earl W. Sutherland Jr.,USA,Burlingame KS,USA,Miami FL,USA,M,59
1973,Medicine,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,Konrad-Lorenz-Institut der ôsterreichischen Akademie der Wissenschaften Forschungsstelle fÅr Ethologie,Altenberg; GrÅnau im Almtal,1903,1989,Konrad Lorenz,Austria,Vienna,Austria,Vienna,Austria,M,86
1974,Medicine,for their discoveries concerning the structural and functional organization of the cell,Yale University School of Medicine,New Haven CT,1912,2008,George E. Palade,Romania,Iasi,USA,Del Mar CA,USA,M,96
1903,Medicine,in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science,Finsen Medical Light Institute,Copenhagen,1860,1904,Niels Ryberg Finsen,Faroe Islands (Denmark),Thorshavn,Denmark,Copenhagen,Denmark,M,44
1907,Medicine,in recognition of his work on the role played by protozoa in causing diseases,Institut Pasteur,Paris,1845,1922,Alphonse Laveran,France,Paris,France,Paris,France,M,77
1954,Medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,Harvard Medical School,Boston MA,1897,1985,John F. Enders,USA,West Hartford CT,USA,Waterford CT,USA,M,88
1958,Medicine,for their discovery that genes act by regulating definite chemical events,Rockefeller Institute for Medical Research,New York NY,1909,1975,Edward Tatum,USA,Boulder CO,USA,New York NY,USA,M,66
1905,Peace,for her audacity to oppose the horrors of war,,,1843,1914,Bertha von Suttner,Czech Republic,Prague,Austria,Vienna,,F,71
1990,Peace,for the leading role he played in the radical changes in East-West relations,,,1931,2022,Mikhail Gorbachev,Russia,Privolnoye,Russia,Moscow,,M,91
1989,Economics,for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures,University of Oslo,Oslo,1911,1999,Trygve Haavelmo,Norway,Skedsmo,Norway,Oslo,Norway,M,88
2000,Physics,for developing semiconductor heterostructures used in high-speed- and opto-electronics,A.F. Ioffe Physico-Technical Institute,St. Petersburg,1930,2019,Zhores Alferov,Belarus,Vitebsk Belorussia,Russia,St. Petersburg,Russia,M,89
2000,Chemistry,for the discovery and development of conductive polymers,University of California,Santa Barbara CA,1936,,Alan Heeger,USA,Sioux City IA,,,USA,M,
2008,Economics,for his analysis of trade patterns and location of economic activity,Princeton University,Princeton NJ,1953,,Paul Krugman,USA,New York NY,,,USA,M,
1930,Literature,for his vigorous and graphic art of description and his ability to create with wit and humour new types of characters,,,1885,1951,Sinclair Lewis,USA,Sauk Centre MN,Italy,Rome,,M,66
2009,Economics,for her analysis of economic governance especially the commons,Indiana University,Bloomington IN,1933,2012,Elinor Ostrom,USA,Los Angeles CA,USA,Bloomington IN,USA,F,79
2010,Chemistry,for palladium-catalyzed cross couplings in organic synthesis,Hokkaido University,Sapporo,1930,,Akira Suzuki,Japan,Mukawa,,,Japan,M,
2013,Economics,for their empirical analysis of asset prices,University of Chicago,Chicago IL,1939,,Eugene F. Fama,USA,Boston MA,,,USA,M,
2015,Chemistry,for mechanistic studies of DNA repair,Howard Hughes Medical Institute,Durham NC,1946,,Paul Modrich,USA,Raton NM,,,USA,M,
1964,Chemistry,for her determinations by X-ray techniques of the structures of important biochemical substances,University of Oxford Royal Society,Oxford,1910,1994,Dorothy Crowfoot Hodgkin,Egypt,Cairo,United Kingdom,Shipston-on-Stour,United Kingdom,F,84
1981,Chemistry,for their theories developed independently concerning the course of chemical reactions,Cornell University,Ithaca NY,1937,,Roald Hoffmann,Ukraine,Zloczov,,,USA,M,
